,Street_One,Street_Two,lat,lng
0,MISSION ST,ITALY AVE,37.71847,-122.43953
1,MISSION ST,NEW MONTGOMERY ST,37.78745,-122.4005
2,MISSION ST,01ST ST,37.79323,-122.39288
3,MISSION ST,20TH ST,37.75863,-122.41904
4,MISSION ST,FREMONT ST,37.79047,-122.39669
5,MISSION ST,13TH ST,37.76998,-122.41998
6,MISSION ST,ERIE ST,37.76907,-122.42004
7,MISSION ST,BEALE ST,37.79116,-122.39584
8,MISSION ST,FAIR AVE,37.74559,-122.41987
9,MISSION ST,SAINT MARYS AVE,37.73395,-122.42612
10,MISSION ST,SENECA AVE,37.71766,-122.44013
11,MISSION ST,ANTHONY ST,37.78838,-122.39933
12,MISSION ST,JESSIE EAST ST,37.78405,-122.40483
13,MISSION ST,SILVER AVE,37.72874,-122.43128
14,MISSION ST,MOUNT VERNON AVE,37.71461,-122.44265
15,MISSION ST,30TH ST,37.74239,-122.42196
16,MISSION ST,MAIN ST,37.79186,-122.39497
17,MISSION ST,TRUMBULL ST,37.73078,-122.42925
18,MISSION ST,15TH ST,37.76667,-122.41982
19,MISSION ST,KINGSTON ST,37.74175,-122.42238
20,MISSION ST,TINGLEY ST,37.72824,-122.43178
21,MISSION ST,THERESA ST,37.72772,-122.43234
22,MISSION ST,PARK ST,37.73664,-122.42423
23,MISSION ST,OLIVER ST,37.70955,-122.45052
24,MISSION ST,STEUART ST,37.79325,-122.39319
25,MISSION ST,HURON AVE,37.71185,-122.44984
26,MISSION ST,SYCAMORE ST,37.76272,-122.41946
27,MISSION ST,02ND ST,37.79388,-122.39303
28,MISSION ST,MINT ST,37.78219,-122.40717
29,MISSION ST,GENEVA AVE,37.71639,-122.441
30,MISSION ST,CORTLAND AVE,37.74101,-122.42284
31,MISSION ST,22ND ST,37.75545,-122.41874
32,MISSION ST,06TH ST,37.79367,-122.39291
33,MISSION ST,PRECITA AVE,37.74676,-122.41912
34,MISSION ST,17TH ST,37.76342,-122.4195
35,MISSION ST,CASTLE MANOR AVE,37.72924,-122.4308
36,MISSION ST,ALLISON ST,37.71461,-122.44265
37,MISSION ST,26TH ST,37.74906,-122.41814
38,MISSION ST,VIRGINIA AVE,37.74315,-122.4215
39,MISSION ST,COTTER ST,37.72719,-122.4329
40,MISSION ST,WHIPPLE AVE,37.7108,-122.44768
41,MISSION ST,08TH ST,37.79355,-122.39308
42,MISSION ST,PLUM ST,37.77104,-122.41967
43,MISSION ST,THE EMBARCADERO,37.79371,-122.39263
44,MISSION ST,19TH ST,37.76022,-122.41922
45,MISSION ST,APPLETON AVE,37.73887,-122.42395
46,MISSION ST,OCEAN AVE,37.72389,-122.43541
47,MISSION ST,GODEUS ST,37.74283,-122.42171
48,MISSION ST,POPE ST,37.71543,-122.44183
49,MISSION ST,FARRAGUT AVE,37.70994,-122.44939
50,MISSION ST,11TH ST,37.77433,-122.4171
51,MISSION ST,EUGENIA AVE,37.74222,-122.42208
52,MISSION ST,04TH ST,37.79369,-122.39289
53,MISSION ST,FRANCE AVE,37.72005,-122.43835
54,MISSION ST,LASKIE ST,37.77672,-122.41412
55,MISSION ST,29TH ST,37.74408,-122.42092
56,MISSION ST,RUSSIA AVE,37.72157,-122.43718
57,MISSION ST,ONONDAGA AVE,37.72115,-122.4375
58,MISSION ST,ANNIE ST,37.78685,-122.40123
59,MISSION ST,21ST ST,37.75702,-122.41892
60,MISSION ST,CLARION ALY,37.76306,-122.41948
61,MISSION ST,NAGLEE AVE,37.7116,-122.44613
62,MISSION ST,ADMIRAL AVE,37.72986,-122.43015
63,MISSION ST,RICHLAND AVE,37.73594,-122.42449
64,MISSION ST,LOWELL ST,37.71145,-122.44641
65,MISSION ST,SAN JUAN AVE,37.72401,-122.43532
66,MISSION ST,14TH ST,37.76829,-122.41997
67,MISSION ST,CONCORD ST,37.71397,-122.44334
68,MISSION ST,HIGHLAND AVE,37.73736,-122.42404
69,MISSION ST,10TH ST,37.77528,-122.41591
70,MISSION ST,LAWRENCE AVE,37.70942,-122.45088
71,MISSION ST,AMAZON AVE,37.71724,-122.44043
72,MISSION ST,ECKER ST,37.7788,-122.41144
73,MISSION ST,SHAW ALY,37.78898,-122.39857
74,MISSION ST,AVALON AVE,37.72772,-122.43234
75,MISSION ST,FRANCIS ST,37.7266,-122.43336
76,MISSION ST,LAFAYETTE ST,37.77352,-122.41808
77,MISSION ST,JESSIE WEST ST,37.78309,-122.40604
78,MISSION ST,COLLEGE AVE,37.73526,-122.42481
79,MISSION ST,03RD ST,37.79329,-122.3929
80,MISSION ST,HARRINGTON ST,37.72518,-122.43444
81,MISSION ST,COLLEGE TER,37.73428,-122.42579
82,MISSION ST,VALENCIA ST,37.74559,-122.41987
83,MISSION ST,NEY ST,37.73001,-122.43001
84,MISSION ST,12TH ST,37.35671,-121.89028
85,MISSION ST,25TH ST,37.75066,-122.4183
86,MISSION ST,MARY ST,37.78214,-122.40724
87,MISSION ST,SPEAR ST,37.79256,-122.39407
88,MISSION ST,ROLPH ST,37.71579,-122.44157
89,MISSION ST,07TH ST,37.79329,-122.39291
90,MISSION ST,NORTON ST,37.7246,-122.4349
91,MISSION ST,RUTH ST,37.72306,-122.43604
92,MISSION ST,BRAZIL AVE,37.7247,-122.43483
93,MISSION ST,GUTTENBERG ST,37.71279,-122.4446
94,MISSION ST,23RD ST,37.75383,-122.4186
95,MISSION ST,RANDALL ST,37.7398,-122.42362
96,MISSION ST,PERSIA AVE,37.72314,-122.43597
97,MISSION ST,16TH ST,37.76505,-122.41967
98,MISSION ST,YERBA BUENA LN,37.7851,-122.40347
99,MISSION ST,LAURA ST,37.70969,-122.45012
100,MISSION ST,18TH ST,37.76184,-122.41937
101,MISSION ST,LEO ST,37.72246,-122.43651
102,MISSION ST,POWERS AVE,37.74618,-122.41951
103,MISSION ST,SANTA ROSA AVE,37.72576,-122.43401
104,MISSION ST,FLORENTINE AVE,37.71338,-122.44396
105,MISSION ST,FOOTE AVE,37.71264,-122.44477
106,MISSION ST,BOSWORTH ST,37.73367,-122.42644
107,MISSION ST,EXCELSIOR AVE,37.72624,-122.43364
108,MISSION ST,WASHBURN ST,37.77589,-122.41514
109,MISSION ST,MORSE ST,37.71035,-122.44837
110,MISSION ST,ANGELOS ALY,37.77816,-122.41227
111,MISSION ST,BROOK ST,37.74065,-122.42307
112,MISSION ST,09TH ST,37.79329,-122.39291
113,MISSION ST,OTTAWA AVE,37.71361,-122.44373
114,MISSION ST,NIAGARA AVE,37.71558,-122.44172
115,MISSION ST,ACTON ST,37.7088,-122.45276
116,MISSION ST,05TH ST,37.79329,-122.3929
117,MISSION ST,24TH ST,37.75226,-122.41849
118,MISSION ST,GRACE ST,37.77561,-122.41549
